,street,number,postal_code,neighbourhood,region,latitude,longitude,name
1924,Thorvald Meyers Gate,36,555,Fredensborg,Oslo,59.924149,10.759853,Thorvald Meyers Gate 36
1925,Raschs Vei,38,1153,Lambertseter,Oslo,59.879663,10.804024,Raschs Vei 38
1926,Stortingsgata,16,161,Vika,Oslo,59.913555,10.735851,Stortingsgata 16
1927,Helga Vaneks Vei,1,1281,Dal,Oslo,59.849631,10.830275,Helga Vaneks Vei 1
1928,Frognerveien,12,263,Briskeby,Oslo,59.916532,10.713442,Frognerveien 12
1929,Parkveien,6,350,Homansbyen,Oslo,59.921397,10.730061,Parkveien 6
1930,Trondheimsveien,10C,560,Enerhaugen,Oslo,59.919524,10.764233,Trondheimsveien 10C
1931,Thorvald Meyers gate,35,555,Torshov,Oslo,59.928237,10.759343,Thorvald Meyers gate 35
1932,Brugata,8,186,hammer,Oslo,59.914075,10.754443,Brugata 8
1933,Pilestredet,27,164,hammer,Oslo,59.917595,10.738354,Pilestredet 27
1934,Københavngata,2,553,Fredensborg,Oslo,59.92474,10.76284,Københavngata 2
1935,Holmenveien,11,374,Ris,Oslo,59.943411,10.699794,Holmenveien 11
1936,,,0,Fredensborg,Oslo,59.927981,10.748854,Tannlegene i Waldemar Thranesgate 68
1937,Rådhusgata,32,151,St. Hanshaugen,Oslo,59.910205,10.738916,Rådhusgata 32
1938,Ullevålsveien,9,165,hammer,Oslo,59.919508,10.743092,Ullevålsveien 9
1939,Fredriksborgveien,16,286,Bygdøy,Oslo,59.90343,10.688032,Fredriksborgveien 16
1940,Bogstadveien,8,355,Homansbyen,Oslo,59.924627,10.724021,Bogstadveien 8
1941,,,0,Briskeby,Oslo,59.927749,10.699068,Nr. 29: To kjempende menn
1942,Prinsens Gate,26,157,Vika,Oslo,59.912245,10.739565,Prinsens Gate 26
1943,Motzfeldts Gate,3,187,Vaterland,Oslo,59.91352,10.762321,Motzfeldts Gate 3
1944,Tråkka,47F,774,Slemdal,Oslo,59.953681,10.684004999999999,Tråkka 47F
1945,Trondheimsveien,391,953,Ammerud,Oslo,59.952359,10.867367999999999,Trondheimsveien 391
1946,,,0,Filipstad,Oslo,59.90934,10.70899,Hjortneskaia
1947,Kirkeveien,48,368,Majorstuen,Oslo,59.927545,10.712825,Kirkeveien 48
1948,Bøkkerveien,4,579,Økern,Oslo,59.92698,10.793998,Bøkkerveien 4
1949,Kirkegata,15,153,St. Hanshaugen,Oslo,59.910246,10.743444,Kirkegata 15
