organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
915709133,NODEE SKY AS,2015-08-05,True,51.0,2015-06-26,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0191,OSLO,['Dronning Eufemias gate 28'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/915709133
997864492,NATRAJ TANDOORI RESTAURANT AS,2012-03-08,True,16.0,2012-01-01,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0262,OSLO,['Bygdøy allé 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/997864492
911661004,HAVELI TANDOORI AS,2013-03-06,True,10.0,2013-01-30,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0950,OSLO,['Nedre Kalbakkvei 2C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/911661004
919360399,VAQUERA VERDE AS,2017-08-17,True,5.0,2017-05-03,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0171,OSLO,['Waldemar Thranes gate 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/919360399
920249000,SANROSE AS,2018-01-16,True,32.0,2017-12-13,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0159,OSLO,['Karl Johans gate 18C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/920249000
926426427,HAWKER OSLO AS,2021-02-01,False,0.0,2021-01-04,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0159,OSLO,['Grensen 17'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/926426427
924549874,KANPAI AS,2020-02-05,True,23.0,2020-01-06,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0350,OSLO,['Parkveien 1B'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/924549874
924676191,SIMPLY TASTY AS,2020-02-27,True,6.0,2020-02-07,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0178,OSLO,['Vulkan 5'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/924676191
819734372,GENERASJONSBAREN AS,2017-10-16,True,24.0,2017-09-08,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av barer ellers,56.309,Norge,NO,0181,OSLO,['Torggata 13C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/819734372
917371520,OSLO KVEITA AS,2016-06-24,False,0.0,2016-04-27,True,False,False,True,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0657,OSLO,['Strømsveien 1'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/917371520
